"","ID","Species","Date.collected","Date.intestine.dissected","Date.fish.dissected","island","fishingstatus","Station","sitechla","chla","latitude","depth","Habitat","TL","TL..mm.","FL..mm.","SL..mm.","TWW..g.","Intestine.weight..g.","Gonads","Gonad.voucher","TREM.ALL","CEST.ALL","COP.ALL","ISO.ALL","NEM.ALL"
"66","2639","ACANIG","8-Nov-10","14-Feb-12","25-Apr-12","Teraina","fished","TER-2010-F1",0.156,0.154,4.67392,60,"forereef",160,160,153,129,91,11.45,"?",NA,175,0,0,0,1
"67","2721","ACANIG","12-Nov-10","31-Jan-12","12-Apr-12","Jarvis","unfished","JAR-2010-F1",0.211,0.208,-0.37152,45,"forereef",171,171,165,136,121.16,11.1,"M",12326,266,2,0,0,0
"68","2722","ACANIG","12-Nov-10","21-Jan-12","13-Apr-12","Jarvis","unfished","JAR-2010-F1",0.211,0.208,-0.37152,45,"forereef",175,175,166,140,136.66,15.62,"M",11680,1135,4,0,0,0
"69","2723","ACANIG","12-Nov-10","17-Jan-12","12-Apr-12","Jarvis","unfished","JAR-2010-F1",0.211,0.208,-0.37152,45,"forereef",180,180,170,145,142.27,13.93,"?",NA,474,8,0,0,0
"70","2725","ACANIG","12-Nov-10","6-Mar-12","16-Apr-12","Jarvis","unfished","JAR-2010-F1",0.211,0.208,-0.37152,45,"forereef",215,215,209,178,286,34.32,"F3",16669,226,0,0,0,0
"71","322","ACANIG","12-Nov-10","21-Jan-12","16-Apr-12","Jarvis","unfished","JAR-2010-F1",0.211,0.208,-0.37152,45,"forereef",176,176,172,146,147,15.19,"?",NA,491,2,0,0,0
"72","323","ACANIG","12-Nov-10","24-Feb-12","18-Apr-12","Jarvis","unfished","JAR-2010-F1",0.211,0.208,-0.37152,45,"forereef",210,210,205,175,301,20.19,"F3",9174,328,5,0,0,0
"73","324","ACANIG","12-Nov-10","21-Jan-12","13-Apr-12","Jarvis","unfished","JAR-2010-F1",0.211,0.208,-0.37152,45,"forereef",215,215,206,176,275,40.97,"F3",9780,548,7,0,0,0
"74","325","ACANIG","12-Nov-10","14-Feb-12","12-Apr-12","Jarvis","unfished","JAR-2010-F1",0.211,0.208,-0.37152,45,"forereef",162,162,158,137,134.4,17.11,"F1",9742,225,0,0,0,0
"75","326","ACANIG","12-Nov-10","31-Jan-12","16-Apr-12","Jarvis","unfished","JAR-2010-F1",0.211,0.208,-0.37152,45,"forereef",220,220,210,179,309,48.56,"F3",9478,1733,10,0,0,0
"76","3272","ACANIG","1-Nov-10","27-Jan-12","18-Apr-12","Kingman","unfished","KIN-2010-F3",0.411,0.132,6.3897,35,"patchreef",148.6,148.6,146.2,122.9,85.95,18.13,"F1",11414,35,0,1,0,0
"77","3273","ACANIG","1-Nov-10","26-Jan-12","18-Apr-12","Kingman","unfished","KIN-2010-F3",0.411,0.132,6.3897,35,"patchreef",148.6,148.6,143.4,120.6,85,14.99,"F1",11752,36,0,0,0,0
